"COLOR_ID","COLOR_NAME","COLOR_CODE","COLOR_PRICE","COLOR_TYPE"
20001,스노우 화이트 펄,SWP,100000,EXTERIOR
20002,페블 그레이,DFG,0,EXTERIOR
20003,판테라 메탈,P2M,0,EXTERIOR
20004,오로라 블랙 펄,ABP,0,EXTERIOR
20005,아이스버그 그린,IEG,0,EXTERIOR
20006,오션 블루,OBG,0,EXTERIOR
20007,플레어 레드,C7R,0,EXTERIOR
20008,아이보리 매트 실버,ISM,490000,EXTERIOR
20009,오션 매트 블루,OBM,490000,EXTERIOR
20010,시티스케이프 그린,CGE,0,EXTERIOR
20011,미네랄 블루,M4B,0,EXTERIOR
20012,아쿠아 민트,AEQ,0,EXTERIOR
20013,스모크 블루,EU3,0,EXTERIOR
20014,스노우 화이트 펄,SWP,0,EXTERIOR
20015,아이보리 실버,ISG,0,EXTERIOR
20016,문스케이프 매트 그레이,KLM,0,EXTERIOR
20017,선셋 베이지,BYG,0,EXTERIOR
20018,인터스텔라 그레이,AGT,0,EXTERIOR
20019,오로라 블랙 펄,ABP,0,EXTERIOR
20020,딥 크로마 블루,D9B,0,EXTERIOR
20021,스노우 화이트 펄,SWP,80000,EXTERIOR
20022,페블 그레이,DFG,0,EXTERIOR
20023,오로라 블랙 펄,ABP,0,EXTERIOR
20024,판테라 메탈,P2M,0,EXTERIOR
20025,스노우 화이트 펄,SWP,80000,EXTERIOR
20026,아이보리 실버,ISG,0,EXTERIOR
20027,아이보리 매트 실버,ISM,300000,EXTERIOR
20028,오로라 블랙 펄,ABP,0,EXTERIOR
20029,셰일 그레이,EBD,0,EXTERIOR
20030,어벤쳐린 그린,AG3,0,EXTERIOR
20031,프로스트 블루,EBB,0,EXTERIOR
20032,스노우 화이트 펄,SWP,800000,EXTERIOR
20033,인터스텔라 그레이,AGT,0,EXTERIOR
20034,오로라 블랙 펄,ABP,0,EXTERIOR
20035,스틸 그레이,C7S,0,EXTERIOR
20036,그래비티 블루,B4U,0,EXTERIOR
20037,문스케이프 매트 그레이,KLM,3000000,EXTERIOR
20038,요트 블루,DU3,0,EXTERIOR
20039,글래시어,GLB,0,EXTERIOR
20040,클리어 화이트,UD,0,EXTERIOR
20041,스파클링 실버,KCS,0,EXTERIOR
20042,시그널 레드,BEG,0,EXTERIOR
20043,어드벤쳐러스 그린,A2G,0,EXTERIOR
20044,아스트로 그레이,M7G,0,EXTERIOR
20045,오로라 블랙 펄,ABP,0,EXTERIOR
20046,밀키 베이지,M9Y,0,EXTERIOR
20047,스노우 화이트 펄,SWP,80000,EXTERIOR
20048,시티스케이프 그린,CGE,0,EXTERIOR
20049,미네랄 블루,M4B,0,EXTERIOR
20050,스틸 그레이,KLG,0,EXTERIOR
20051,인터스텔라 그레이,AGT,0,EXTERIOR
20052,오로라 블랙 펄,ABP,0,EXTERIOR
20053,마칼루 그레이(무광),MPE,700000,EXTERIOR
20054,우유니 화이트,UYH,0,EXTERIOR
20055,세빌 실버,SSS,0,EXTERIOR
20056,마칼루 그레이,NCM,0,EXTERIOR
20057,비크 블랙,PH3,0,EXTERIOR
20058,한라산 그린,MDY,0,EXTERIOR
20059,태즈먼 블루,URA,0,EXTERIOR
20060,카프리 블루,NRB,0,EXTERIOR
20061,마티라 블루,NEB,700000,EXTERIOR
20062,브루클린 브라운,BRN,0,EXTERIOR
20063,우유니 화이트,UYH,0,EXTERIOR
20064,세빌 실버,SSS,0,EXTERIOR
20065,마칼루 그레이,NCM,0,EXTERIOR
20066,빅 블랙,PH3,0,EXTERIOR
20067,스토르 그린,KGN,0,EXTERIOR
20068,세레스 블루,,0,EXTERIOR
20069,카프리 블루,NRB,0,EXTERIOR
20070,마우나 레드,RJK,0,EXTERIOR
20071,베링 블루,,0,EXTERIOR
20072,마테호른 화이트(무광),,700000,EXTERIOR
20073,마칼루 그레이(무광),,700000,EXTERIOR
20074,스노우 화이트 펄,SWP,80000,PEARL
20075,오로라 블랙 펄,ABP,0,PEARL
20076,인터스텔라 그레이,AGT,0,METALLIC
20077,런웨이 레드,CR5,0,METALLIC
20078,문스케이프 매트 그레이,KLM,300000,MATTE
20079,글래시어,GLB,0,SOLID
20080,요트 블루,DU3,0,METALLIC
20081,아이보리 매트 실버,ISM,300000,MATTE
20082,울프 그레이,C7S,0,METALLIC
20083,요트 매트 블루,DUM,300000,MATTE
20084,스노우 화이트 펄,SWP,80000,EXTERIOR
20085,아이보리 실버,ISG,0,EXTERIOR
20086,아이보리 매트 실버,ISM,300000,EXTERIOR
20087,오로라 블랙 펄,ABP,0,EXTERIOR
20088,셰일 그레이,EBD,0,EXTERIOR
20089,어벤쳐린 그린,AG3,0,EXTERIOR
20090,프로스트 블루,EBB,0,EXTERIOR
20091,아이스버그 그린,IEG,0,EXTERIOR
20092,마그마 레드,OVR,0,EXTERIOR
20093,다크 오션 블루,BU3,0,EXTERIOR
20094,퓨전 블랙,FSB,0,EXTERIOR
20095,프로스트 블루,EBB,0,EXTERIOR
20096,아이보리 실버,ISG,0,EXTERIOR
20097,그래비티 그레이,KDG,0,EXTERIOR
20098,스노우 화이트 펄,SWP,80000,EXTERIOR
20099,아이스버그 매트 그린,IEB,300000,EXTERIOR
20100,클리어 화이트,UD,0,EXTERIOR
20101,오로라 블랙 펄,ABP,0,EXTERIOR
20102,아쿠아 민트,AEQ,0,EXTERIOR
20103,스모크 블루,EU3,0,EXTERIOR
20104,아스트로 그레이,M7G,0,EXTERIOR
20105,어드벤쳐러스 그린,A2G,0,EXTERIOR
20106,밀키 베이지,M9Y,0,EXTERIOR
20107,스노우 화이트 펄,SWP,80000,EXTERIOR
20108,볼캐닉 샌드 브라운,BN4,0,EXTERIOR
20109,시티스케이프 그린,CGE,0,EXTERIOR
20110,인터스텔라 그레이,AGT,0,EXTERIOR
20111,오로라 블랙 펄,ABP,0,EXTERIOR
20112,스노우 화이트 펄,SWP,80000,EXTERIOR
20113,울프 그레이,C7A,0,EXTERIOR
20114,그래비티 그레이,KDG,0,EXTERIOR
20115,베스타 블루,BB2,0,EXTERIOR
20116,퓨전 블랙,FSB,0,EXTERIOR
20117,정글 우드 그린,JUG,0,EXTERIOR
20118,헤리티지 블루,HRB,0,EXTERIOR
20119,쉐도우 매트 그레이,MGG,300000,EXTERIOR
20120,인터스텔라 그레이,AGT,0,EXTERIOR
20121,Clear White,UD,0,EXTERIOR
20122,Milky Beige,M9Y,0,EXTERIOR
20123,Astro Gray,M7G,0,EXTERIOR
20124,Aurora Black Pearl,ABP,0,EXTERIOR
20125,Alpine White,"300",0,SOLID
20126,Black Sapphire,"475",0,METALLIC
20127,Mineral White,A96,0,METALLIC
20128,Phytonic Blue,C1M,0,METALLIC
20129,Skyscraper Grey,C4W,0,METALLIC
20130,아이보리 실버,ISG,0,EXTERIOR
20131,스노우 화이트 펄,SWP,80000,EXTERIOR
20132,오로라 블랙 펄,ABP,0,EXTERIOR
20133,판테라 메탈,P2M,0,EXTERIOR
20134,세라믹 실버,C4S,0,EXTERIOR
40001,스노우 화이트,#FFFFFF,0,EXTERIOR
40002,블랙,#000000,0,EXTERIOR
40003,메탈릭 실버,#C0C0C0,0,EXTERIOR
40004,레드,#C00000,0,EXTERIOR
40005,블루,#0047AB,0,EXTERIOR
40006,화이트,#FFFFFF,0,EXTERIOR
40007,블랙,#000000,0,EXTERIOR
40008,실버,#C0C0C0,0,EXTERIOR
40009,화이트,#FFFFFF,0,EXTERIOR
40010,블랙,#000000,0,EXTERIOR
40011,실버,#C0C0C0,0,EXTERIOR
40012,블루,#0047AB,0,EXTERIOR
40013,레드,#C00000,0,EXTERIOR
40014,화이트,#FFFFFF,0,EXTERIOR
40015,블랙,#000000,0,EXTERIOR
40016,실버,#C0C0C0,0,EXTERIOR
40017,그린,#1B5E20,0,EXTERIOR
40018,레드,#C00000,0,EXTERIOR
40019,ATTITUDE BLACK MICA,,0,EXTERIOR
40020,DARK BLUE MICA,,0,EXTERIOR
40021,PRECIOUS GALENA,,0,EXTERIOR
40022,RED MICA,,0,EXTERIOR
40023,GREEN MICA METALLIC,,0,EXTERIOR
40024,GRAY METALLIC,,0,EXTERIOR
40025,SILVER METALLIC,,0,EXTERIOR
40026,PLATINUM WHITE PEARL MICA,,0,EXTERIOR
40027,GRAY,,0,INTERIOR
40028,BLACK,,0,INTERIOR
40029,NEUTRAL BEIGE,,0,INTERIOR
40030,YELLOW BROWN,,0,INTERIOR
40031,CRYSTAL BLACK SILICA,,0,EXTERIOR
40032,CRYSTAL WHITE PEARL,,0,EXTERIOR
40033,ICE SILVER METALLIC,,0,EXTERIOR
40034,IGNITION RED,,0,EXTERIOR
40035,MAGNETITE GRAY METALLIC,,0,EXTERIOR
40036,SAPPHIRE BLUE PEARL,,0,EXTERIOR
40037,RIDGE GREEN,,0,EXTERIOR
40038,BLACK,,0,INTERIOR
40039,PLATINUM WHITE PEARL MICA,,0,EXTERIOR
40040,SILVER METALLIC,,0,EXTERIOR
40041,PRECIOUS METAL,,0,EXTERIOR
40042,NEUTRAL BLACK,,0,EXTERIOR
40043,EMOTIONAL RED 3,,0,EXTERIOR
40044,PRECIOUS BRONZE 2,,0,EXTERIOR
40045,DARK BLUE MICA,,0,EXTERIOR
40046,BLACK,,0,INTERIOR
40047,FROMAGE,,0,INTERIOR
40048,YELLOW BROWN,,0,INTERIOR
60001,폴라 화이트,"149U",0,GLOSSY
60002,나이트 블랙,"696U",0,GLOSSY
60003,코스모스 블랙,"191U",980000,METALLIC
60004,마운틴 그레이,"787U",980000,METALLIC
60005,마운틴 그레이 마그노,"662U",4040000,MANUFAKTUR
60006,파타고니아 레드,"993U",1590000,MANUFAKTUR
60007,코스모스 블랙,"191U",830000,METALLIC
60008,마운틴 그레이,"787U",830000,METALLIC
60009,하이 테크 실버,"922U",830000,METALLIC
60010,스펙트럴 블루,"970U",980000,METALLIC
60011,파타고니아 레드,"993U",1490000,MANUFAKTUR
60012,오팔라이트 화이트 브라이트,"885U",0,MANUFAKTUR
60013,실리콘 그레이 솔리드,"190U",7990000,MANUFAKTUR
60014,알파인 그레이 솔리드,"956U",7990000,MANUFAKTUR
60015,히아신스 레드 메탈릭,"996U",7990000,MANUFAKTUR
60016,옵시디안 블랙,"197U",0,METALLIC
60017,소다라이트 블루,"842U",0,METALLIC
60018,하이 테크 실버,"922U",0,METALLIC
60019,셀레나이트 그레이,"992U",0,METALLIC
60020,노틱 블루 + 하이테크 실버,C20,0,METALLIC
60021,루벨라이트 레드 + 옵시디안 블랙,C21,0,METALLIC
60022,칼라하리 골드 + 옵시디언 블랙,C23,7990000,MANUFAKTUR
60023,모하비 실버 + 에메랄드 그린 ,C24,0,METALLIC
60024,블랙,"040U",0,METALLIC
60025,옵시디안 블랙,"197U",0,METALLIC
60026,노티컬 블루,"359U",0,METALLIC
60027,스펙트럴 블루,"970U",0,METALLIC
60028,하이 테크 실버,"922U",0,METALLIC
60029,그라파이트 그레이,"831U",0,METALLIC
60030,알파인 그레이 솔리드,"956U",0,MANUFAKTUR
60031,그라파이트 그레이 마그노,"818U",7140000,MANUFAKTUR
60032,Diamond Black,,1930000,
60033,Pearl White Multi-Coat,,1290000,
60034,Stealth Grey,,0,
60035,Pearl White Multi-Coat,,2160000,
60036,Diamond Black,,2160000,
60037,Ultra Red,,4310000,
60038,Lunar Silver,,4310000,
60039,Frost Blue Metallic,,4310000,
60040,Solid Black,,1930000,
