"OPTION_DEPENDENCY_ID","OPTION_ITEM_ID","RELATED_OPTION_ITEM_ID","RULE_TYPE"
20001,20155,20156,EXCLUDES
20002,20156,20155,EXCLUDES
20003,20155,20108,REQUIRES
20004,20360,20156,EXCLUDES
20005,20156,20360,EXCLUDES
20006,20360,20108,REQUIRES
20007,20360,20113,REQUIRES
20008,20368,20369,EXCLUDES
20009,20369,20368,EXCLUDES
20010,20368,20117,REQUIRES
20011,20371,20369,EXCLUDES
20012,20369,20371,EXCLUDES
20013,20371,20117,REQUIRES
20014,20371,20122,REQUIRES
20015,20379,20380,EXCLUDES
20016,20380,20379,EXCLUDES
20017,20379,20126,REQUIRES
20018,20382,20380,EXCLUDES
20019,20380,20382,EXCLUDES
20020,20382,20126,REQUIRES
20021,20382,20131,REQUIRES
20022,20591,20590,REQUIRES
20023,20592,20590,REQUIRES
20024,21001,20560,EXCLUDES
20025,20560,21001,EXCLUDES
20026,21004,20992,EXCLUDES
20027,20992,21004,EXCLUDES
20028,20559,20558,REQUIRES
20029,20568,20567,REQUIRES
20030,20997,20996,REQUIRES
20031,20991,20990,REQUIRES
20032,20554,20551,REQUIRES
20033,20395,20394,REQUIRES
20034,20403,20402,REQUIRES
20035,20411,20410,REQUIRES
20036,20420,20419,REQUIRES
20037,20428,20427,REQUIRES
20038,20436,20435,REQUIRES
20039,20005,20004,REQUIRES
20040,20013,20012,REQUIRES
20041,20021,20020,REQUIRES
20042,20207,20206,REQUIRES
20043,20211,20210,REQUIRES
20044,20213,20212,REQUIRES
20045,20208,20204,EXCLUDES
20046,20204,20208,EXCLUDES
20047,20214,20209,EXCLUDES
20048,20209,20214,EXCLUDES
20049,20414,20407,EXCLUDES
20050,20407,20414,EXCLUDES
20051,20414,20222,EXCLUDES
20052,20222,20414,EXCLUDES
20053,20414,20223,EXCLUDES
20054,20223,20414,EXCLUDES
20055,20439,20432,EXCLUDES
20056,20432,20439,EXCLUDES
20057,20439,20233,EXCLUDES
20058,20233,20439,EXCLUDES
20059,20439,20234,EXCLUDES
20060,20234,20439,EXCLUDES
20061,20024,20017,EXCLUDES
20062,20017,20024,EXCLUDES
20063,20024,20242,EXCLUDES
20064,20242,20024,EXCLUDES
20065,20024,20243,EXCLUDES
20066,20243,20024,EXCLUDES
20067,20216,20391,REQUIRES
20068,20219,20399,REQUIRES
20069,20222,20407,REQUIRES
20070,20227,20416,REQUIRES
20071,20230,20424,REQUIRES
20072,20233,20432,REQUIRES
20073,20236,20001,REQUIRES
20074,20239,20009,REQUIRES
20075,20242,20017,REQUIRES
20076,20177,20390,REQUIRES
20077,20274,20272,REQUIRES
20078,20305,20275,REQUIRES
20079,20184,20182,REQUIRES
20080,21259,21266,REQUIRES
20081,21261,21266,REQUIRES
20082,21271,21256,REQUIRES
20083,21272,21256,REQUIRES
20084,21273,21256,REQUIRES
20085,21260,21256,REQUIRES
20086,21261,21256,REQUIRES
