"OPTION_GROUP_ITEM_ID","OPTION_GROUP_ID","OPTION_ITEM_ID"
40026,40009,40034
20001,20016,20158
20002,20017,20159
20003,20018,20160
20004,20019,20161
20005,20020,20162
20006,20021,20163
20007,20022,20164
20008,20023,20165
20009,20024,20166
20010,20025,20167
20011,20026,20168
20012,20027,20169
20013,20028,20170
20014,20029,20171
20015,20030,20172
20016,20001,20306
20017,20001,20307
20018,20003,20587
20019,20003,20588
20020,20004,20543
20021,20005,20544
20022,20005,20545
20023,20006,20546
20024,20006,20547
20025,20007,20548
20026,20007,20549
20027,20007,20550
20028,20008,20551
20029,20008,20552
20030,20008,20553
20031,20008,20554
20032,20009,20555
20033,20009,20556
20034,20009,20557
20035,20009,20558
20036,20009,20559
20037,20009,20560
20038,20009,20561
20039,20009,20562
20040,20009,20563
20041,20009,20564
20042,20010,20565
20043,20010,20566
20044,20010,20567
20045,20010,20568
20046,20010,20569
20047,20010,20570
20048,20010,20571
20049,20010,20572
20050,20010,20573
20051,20011,20574
20052,20011,20575
20053,20011,20576
20054,20011,20990
20055,20011,20991
20056,20011,20992
20057,20011,20993
20058,20011,20994
20059,20011,20995
20060,20011,20996
20061,20011,20997
20062,20011,20998
20063,20012,20999
20064,20013,21000
20065,20013,21001
20066,20014,21002
20067,20015,21003
20068,20015,21004
20069,20016,20215
20070,20016,20216
20071,20016,20217
20072,20017,20218
20073,20017,20219
20074,20017,20220
20075,20018,20221
20076,20018,20222
20077,20018,20223
20078,20019,20224
20079,20039,21242
20080,20019,20225
20081,20020,20226
20082,20020,20227
20083,20020,20228
20084,20021,20229
20085,20021,20230
20086,20021,20231
20087,20022,20232
20088,20022,20233
20089,20022,20234
20090,20023,20235
20091,20023,20236
20092,20023,20237
20093,20024,20238
20094,20024,20239
20095,20024,20240
20096,20025,20241
20097,20025,20242
20098,20025,20243
20099,20026,20244
20100,20026,20245
20101,20026,20246
20102,20027,20247
20103,20027,20248
20104,20027,20249
20105,20028,20250
20106,20028,20251
20107,20028,20252
20108,20029,20253
20109,20029,20254
20110,20029,20255
20111,20030,20256
20112,20030,20257
20113,20030,20258
20114,20031,20390
20115,20032,20173
20116,20033,20174
20117,20034,20175
20118,20035,20176
20119,20037,20177
20120,20038,20178
20121,20031,20179
20122,20034,20180
20123,20032,20181
20124,20033,20182
20125,20035,20183
20126,20036,20184
20127,20037,20185
20128,20031,20186
20129,20033,20187
20130,20034,20188
20131,20035,20259
20132,20036,20260
20133,20032,20261
20134,20037,20262
20135,20038,20263
20136,20031,20264
20137,20032,20265
20138,20033,20266
20139,20034,20267
20140,20035,20268
20141,20036,20269
20142,20037,20270
20143,20038,20271
20144,20031,20272
20145,20035,20273
20146,20037,20274
20147,20031,20275
20148,20035,20304
20149,20037,20305
20150,20002,20317
20151,20002,20318
20152,20002,20319
20153,20039,21243
20154,20040,21252
20155,20040,21253
20156,20040,21254
20157,20040,21255
20158,20041,21244
20159,20041,21245
20160,20041,21246
20161,20041,21247
20162,20041,21248
20163,20041,21249
20164,20041,21250
20165,20041,21251
20166,20042,21257
20167,20042,21258
20168,20042,21259
20169,20043,21260
20170,20043,21261
20171,20044,21262
20172,20044,21263
20173,20045,21264
20174,20045,21265
20175,20046,21266
20176,20046,21267
20177,20047,21268
20178,20047,21269
20179,20047,21270
20180,20048,21271
20181,20048,21272
20182,20048,21273
20183,20049,21274
20184,20049,21275
20185,20049,21276
20186,20049,21277
20187,20049,21278
20188,20049,21279
20189,20049,21280
20190,20050,21435
20191,20050,21436
20192,20050,21437
20193,20050,21438
20194,20050,21439
20195,20050,21440
20196,20050,21441
20197,20050,21411
20198,20051,21412
20199,20051,21413
20200,20052,20680
20201,20052,20681
20202,20052,20682
20203,20052,20683
20204,20052,20684
20205,20052,20685
20206,20052,20686
20207,20052,20687
20208,20052,20688
20209,20052,20689
20210,20052,20690
20211,20052,20793
20212,20052,20794
20213,20052,20795
20214,20052,20796
20215,20052,20797
20216,20052,20798
20217,20052,20799
20218,20052,20800
20219,20052,20801
20220,20052,20802
20221,20052,20803
20222,20052,20804
20223,20052,20805
20224,20052,20806
20225,20052,20807
20226,20052,20808
20227,20052,20809
20228,20052,20810
20229,20052,20811
20230,20052,20812
20231,20052,20813
20232,20052,20814
20233,20052,20815
20234,20052,20816
