"OPTION_ITEM_ID","BRAND_ID","OPTION_NAME","OPTION_DESC","OPTION_PRICE","OPTION_TYPE","OPTION_CATEGORY","SELECT_RULE"
1,1,컨비니언스,듀얼 풀오토 에어컨(오토디포그/미세먼지센서/공기청정모드/애프터블로우포함),380000,SINGLE,interior,MULTI
2,1,인포테인먼트 내비,"12.3인치 내비, 듀얼 풀오토 에어컨",890000,SINGLE,assistant,MULTI
3,1,하이패스,e hi-pass 기능 포함 하이패스 시스템,200000,SINGLE,etc,MULTI
4,1,현대 스마트센스,"전방 충돌방지, 스마트 크루즈",400000,SINGLE,assistant,MULTI
5,1,"17인치 알로이 휠 & 타이어Ⅰ","17인치 알로이 휠 & 타이어Ⅰ(15인치 → 17인치)",490000,SINGLE,wheel,SINGLE
6,1,선루프,선루프,450000,SINGLE,etc,MULTI
7,1,파킹 어시스트 플러스,"파노라마 디스플레이(클러스터(10.25인치 컬러 LCD), 클러스터/내비게이션 일체형 글라스), 서라운드 뷰 모니터, 후측방 모니터, 후방 주차 충돌방지 보조",1290000,SINGLE,assistant,MULTI
8,1,익스테리어 디자인,"Full LED 헤드램프(프로젝션 타입), LED 방향지시등(앞), LED 리어 콤비램프, LED 보조제동등",450000,SINGLE,etc,MULTI
9,1,컴포트Ⅰ,"운전석 전동시트(8way, 럼버서포트, 자세 메모리 시스템), 동승석 전동시트(4way), 현대 디지털 키 2 터치, 스마트폰 무선충전, 2열 열선시트, 2열 암레스트, 2열 6:4 폴딩, 2열 높이조절 헤드레스트(센터), 동승석 시트백 포켓",1060000,SINGLE,interior,MULTI
10,1,"17인치 알로이 휠 & 타이어Ⅱ","17인치 알로이 휠 & 타이어Ⅱ(16인치 → 17인치)",300000,SINGLE,wheel,SINGLE
11,1,세이지 그린 인테리어 컬러,세이지 그린 인테리어 컬러,150000,SINGLE,interior,SINGLE
12,1,빌트인 캠(보조배터리 포함),"빌트인 캠, 보조배터리",690000,SINGLE,assistant,MULTI
13,1,디자인 휠 패키지,"18인치 스포츠 디자인 휠 & N로고 스피닝 휠캡",670000,SINGLE,wheel,SINGLE
14,1,대용량 브레이크 패키지,레드 캘리퍼 & 대용량 디스크 & 로우 스틸 패드,390000,SINGLE,wheel,MULTI
15,1,N로고 플로어 매트,"N로고 플로어 매트(1열, 2열)",200000,SINGLE,interior,MULTI
16,1,N Line 전용 블랙 원톤(레드스티치),N Line 전용 블랙 원톤(레드스티치),0,SINGLE,interior,SINGLE
17,1,컴포트Ⅱ,"운전석 전동시트(8way, 럼버서포트, 자세 메모리 시스템), 동승석 전동시트(4way), 현대 디지털 키 2 터치, 스마트폰 무선충전, 2열 열선시트, 동승석 시트백 포켓",910000,SINGLE,interior,MULTI
18,1,블랙 원톤,블랙 원톤 인테리어 컬러,0,SINGLE,interior,SINGLE
19,1,캐쉬미어 베이지,캐쉬미어 베이지 인테리어 컬러,0,SINGLE,interior,SINGLE
20,1,컴포트Ⅲ,"운전석 전동시트(8way, 럼버서포트), 운전석 자세 메모리 시스템, 동승석 4way 전동시트, 2열 열선시트, 2열 암레스트, 2열 6:4 폴딩, 2열 높이조절 헤드레스트(센터), 동승석 시트백 포켓",760000,SINGLE,interior,MULTI
21,1,인포테인먼트 내비(HEV),"10.25인치 내비게이션(블루링크, 폰 프로젝션, 블루투스 핸즈프리, 인카페이먼트, 발레모드), 내비게이션 무선 업데이트, 앰비언트 무드램프",790000,SINGLE,assistant,MULTI
139,1,KONA_내비게이션 패키지,"12.3인치 내비게이션 등",450000,SINGLE,interior,MULTI
140,1,KONA_하이패스,e hi-pass 포함,200000,SINGLE,etc,MULTI
141,1,KONA_스타일Ⅰ,휠/램프 등 스타일 구성,640000,SINGLE,wheel,MULTI
142,1,KONA_스타일Ⅱ,스타일 구성(Ⅱ),640000,SINGLE,wheel,MULTI
143,1,KONA_현대 스마트센스Ⅰ,주행/안전 보조 패키지,1100000,SINGLE,assistant,MULTI
144,1,KONA_현대 스마트센스Ⅲ,주행/안전 보조 패키지(Ⅲ),550000,SINGLE,assistant,MULTI
145,1,KONA_베스트 셀렉션Ⅰ,내비/클러스터 등 통합,690000,SINGLE,etc,MULTI
146,1,KONA_베스트 셀렉션Ⅱ,스마트센스/클러스터 등,790000,SINGLE,etc,MULTI
