"TRIM_COLOR_ID","TRIM_ID","COLOR_ID"
20526,20083,20091
20527,20083,20092
20528,20083,20093
20529,20083,20094
20530,20083,20095
20531,20083,20096
20532,20083,20097
20533,20083,20098
20534,20083,20099
20535,20092,20014
20536,20092,20015
20537,20092,20016
20538,20092,20017
20539,20092,20018
20540,20092,20019
20541,20093,20014
20542,20093,20015
20543,20093,20016
20544,20093,20017
20545,20093,20018
20546,20093,20019
20547,20094,20014
20548,20094,20015
20549,20094,20016
20550,20094,20017
20551,20094,20018
20552,20094,20019
20553,20095,20014
20554,20095,20015
20555,20095,20016
20556,20095,20017
20557,20095,20018
20558,20095,20019
20559,20096,20014
20560,20096,20015
20561,20096,20016
20562,20096,20017
20563,20096,20018
20564,20096,20019
20565,20097,20014
20566,20097,20015
20567,20097,20016
20568,20097,20017
20569,20097,20018
20570,20097,20019
20571,20098,20014
20572,20098,20015
20573,20098,20016
20574,20098,20017
20575,20098,20018
20576,20098,20019
20577,20099,20014
20578,20099,20015
20579,20099,20016
20580,20099,20017
20581,20099,20018
20582,20099,20019
20583,20100,20014
20584,20100,20015
20585,20100,20016
20586,20100,20017
20587,20100,20018
20588,20100,20019
20589,20101,20014
20590,20101,20015
20591,20101,20016
20592,20101,20017
20593,20101,20018
20594,20101,20019
20595,20102,20014
20596,20102,20015
20597,20102,20017
20598,20102,20018
20599,20102,20019
20600,20103,20100
20601,20103,20101
20602,20103,20102
20603,20103,20103
20604,20103,20104
20605,20103,20105
20606,20103,20106
20607,20104,20100
20608,20104,20101
20609,20104,20102
20610,20104,20103
20611,20104,20104
20612,20104,20105
20613,20104,20106
20614,20105,20100
20615,20105,20101
20616,20105,20102
20617,20105,20103
20618,20105,20104
20619,20105,20105
20620,20105,20106
20621,20106,20100
20622,20106,20101
20623,20106,20102
20624,20106,20103
20625,20107,20100
20626,20107,20101
20627,20107,20102
20628,20107,20103
20629,20107,20104
20630,20107,20105
20631,20107,20106
20632,20108,20100
20633,20108,20101
20634,20108,20102
20635,20108,20103
20636,20108,20104
20637,20108,20105
20638,20108,20106
20639,20109,20100
20640,20109,20101
20641,20109,20102
20642,20109,20103
20643,20109,20104
20644,20109,20105
20645,20109,20106
20646,20110,20100
20647,20110,20101
20648,20110,20102
20649,20110,20103
20650,20110,20104
20651,20110,20105
20652,20110,20106
20653,20111,20100
20654,20111,20101
20655,20111,20102
20656,20111,20103
20657,20111,20104
20658,20111,20105
20659,20111,20106
20660,20112,20100
20661,20112,20101
20662,20112,20102
20663,20112,20103
20664,20112,20104
20665,20112,20105
20666,20112,20106
20667,20113,20107
20668,20113,20108
20669,20113,20109
20670,20113,20110
20671,20113,20111
20672,20114,20107
20673,20114,20108
20674,20114,20109
20675,20114,20110
20676,20114,20111
20677,20115,20107
20678,20115,20108
20679,20115,20109
20680,20115,20110
20681,20115,20111
20682,20116,20107
20683,20116,20108
20684,20116,20109
20685,20116,20110
20686,20116,20111
20687,20117,20107
20688,20117,20108
20689,20117,20109
20690,20117,20110
20691,20117,20111
20692,20118,20107
20693,20118,20108
20694,20118,20109
20695,20118,20110
20696,20118,20111
20697,20119,20107
20698,20119,20108
20699,20119,20109
20700,20119,20110
20701,20119,20111
20702,20120,20107
20703,20120,20108
